Comentario_Limpio;Categoria_N1;Categoria_N2;Categoria_N3;Sentimiento;Palabras;Usa_Exclusiones
me han hecho un cobro 3 veces y no han devuelto el comercio me indica que no se ha realizado el cobro la aplicacion no se puede ingresar;funcionalidad;login;no puede ingresar;neutral;28;Sí
no puede ser que se caiga el sistema todos los dias a media noche no funciona ni banca bcp ni yape por las puras uno tiene la cuenta;funcionalidad;inestabilidad;caida de sistema;neutral;28;Sí
cajero no permite hacer depositos y no hay solucion en 48 horas;otros;reclamos;Sin categoría N3;neutral;12;Sí
si pido adelanto sueldo y esta el dinero abonado en la sueldo deben de cobrarlo no lo hacen de inmediato y eso hace ver que no cumplo con elpago a tiempo eso meperjiduca;funcionalidad;operaciones;Sin categoría N3;neutral;33;Sí
cuando quiero envia transferencia hacia otro banco se cuelga el sistema;tarifas;comision;transferencia interbancaria;neutral;11;Sí
debe ser mas rapido entrar a la app;funcionalidad;login;Sin categoría N3;neutral;8;Sí
en dar soluciones;otros;Sin categoría N2;Sin categoría N3;neutral;3;Sí
en todo yaque al pagar con mi movil me sale puro error y me limita mucho y no puedo retirar el dinero desde la aplicacion por que me dice error;funcionalidad;operaciones;no puede realizar monetarias;negativo;30;Sí
no todo bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;3;Sí
mi solicitud de devolucion de un retiro extrano fue rechazado;funcionalidad;operaciones;Sin categoría N3;neutral;10;Sí
mas personal para una mejor atencion;otros;agencias;Sin categoría N3;neutral;6;Sí
no cerrar las cuentas de yape;funcionalidad;operaciones;Sin categoría N3;neutral;6;Sí
no pedi este tipo de informacion lo cual demuestra que nos son confiables;diseno;Sin categoría N2;Sin categoría N3;neutral;13;Sí
dejen de cobrar tan caro los intereses de los prestamos y aumenten las ganancias en los ahorros en plazo fijo ladrones;otros;prestamos;no hay campanas;neutral;21;Sí
la seguridad de todos sus clientes;seguridad;prevencion de fraudes;Sin categoría N3;neutral;6;Sí
no funciona;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;2;Sí
no dan solucion inmediata;otros;reclamos;Sin categoría N3;neutral;4;Sí
