Comentario_Limpio;Categoria_N1;Categoria_N2;Categoria_N3;Sentimiento;Palabras;Usa_Exclusiones
andan pregunte y pregunte pinches pendejos esta bien su huevada ya dejen de joder;Sin categoría N1;Sin categoría N2;Sin categoría N3;neutral;14;Sí
no puedo yapear ni hacer transacciones de mas de 100 soles nisiquiera menos porque no se completa y finalmente aparece el mismo error siempre;funcionalidad;inestabilidad;Sin categoría N3;negativo;24;Sí
no retener el sueldo;seguridad;Sin categoría N2;Sin categoría N3;neutral;4;Sí
no se puede transferir dinero a otros bancos debe activar cual es el problema cuando otros entidades si permiten;tarifas;Sin categoría N2;Sin categoría N3;negativo;19;Sí
la senorita agencia bcp chorrillos plaza lima sur no me apoyo para crear mi clave cajero de mi nueva tarjeta debito bcp ella dijo que tenia que irse;otros;agencias;Sin categoría N3;neutral;28;Sí
mas seguridad doble seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;4;Sí
no se pueden hacer operaciones que necesito por ejemplo pagar el credito de otra persona por esa operacion no me sirve de mucho la banca movil;otros;prestamos;Sin categoría N3;neutral;26;Sí
en aprobar creditos a extranjeros residentes en el peru que estan en planilla;otros;prestamos;Sin categoría N3;neutral;13;Sí
0;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
rapidez;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;1;Sí
les he pedido un documento les he llamado 2 veces nunca me lo mandaron si hubiera esperado a ustedes nunca me hubiera ido de viaje asi son ustedes de destructores de proyectos son un desastre;otros;Sin categoría N2;Sin categoría N3;negativo;35;Sí
puse mi tarjeta para una prueba gratis de una plataforma y me dice qur el emisor del banco lo rechazo y no entiendo por que;tarifas;comision;Sin categoría N3;neutral;25;Sí
el buscador de pago de servicos debe ser mas familiar;funcionalidad;operaciones;Sin categoría N3;neutral;10;Sí
felicidades todo bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;3;Sí
muy lento;funcionalidad;inestabilidad;lentitud;negativo;2;Sí
me siguen descontando ustedes a pesar que ya pague mi deuda;otros;prestamos;Sin categoría N3;neutral;11;Sí
falla constantemente;noespecifica;Sin categoría N2;Sin categoría N3;negativo;2;Sí
muy mala;noespecifica;Sin categoría N2;Sin categoría N3;negativo;2;Sí
no tengo token digital hace casi un ano y nadie me da solucion;funcionalidad;token;Sin categoría N3;neutral;13;Sí
tanto la banca con el yape cae el sistema a media noche;funcionalidad;inestabilidad;Sin categoría N3;neutral;12;Sí
recomendaria devolver el dinero que se me quito de mi cuenta por una compra que no se puedo hacer pero que al final no habia el disnero en mi cuenta y supuestamente me lo iban a retornar pero hasta el dia de hoy no veo mi dinero;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;47;Sí
seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;1;Sí
esta muy bueno;otros;comentarios positivos;Sin categoría N3;positivo;3;Sí
llegue al banco a la 1 pm espere paciente por 20 minutos no tenian mas que una cajera el chico me atendio con una paciencia demasiado al final espere 35 minutos y encima los cajeros ignoran cuando uno habla mucha descortesia;otros;cajero;Sin categoría N3;neutral;41;Sí
mejorar la accesibilidad del token digital al momento de hacer las transferencias o pagos;funcionalidad;token;Sin categoría N3;neutral;14;Sí
todavia no la uso;seguridad;Sin categoría N2;Sin categoría N3;neutral;4;Sí
el sistema mal no podia hacer transferencia;funcionalidad;inestabilidad;Sin categoría N3;negativo;7;Sí
la app tiene problemas se cae a cada rato justo cuando necesito hacer pagos;funcionalidad;inestabilidad;Sin categoría N3;negativo;14;Sí
no puedo realizar comprar extranjeras;funcionalidad;operaciones;no puede realizar no especificado;neutral;5;Sí
me daba a mi adenlato de sueldoy ahora nadapor mas que estaba mal en el sitema finacieroahora nada gracias;funcionalidad;inestabilidad;Sin categoría N3;negativo;19;Sí
hola deberian regresar el dinero que el bcp tramito atravez de mi tarjeta visa el retiro que realize en cajeros automaticos atm en usa cobrandome la conversion de 50 y 25 soles de dos retires hasta ahora no me reembolsan;funcionalidad;operaciones;Sin categoría N3;neutral;40;Sí
que sea mas amigable ayudado de imagenes;diseno;amigable;Sin categoría N3;neutral;7;Sí
me descuentan dinero;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;3;Sí
que si la tarjeta caduco si recibe dinero pero no permite hacer movimientos deberian bloquear y no permitir que sigan depositando ahora como esta bloqueada porque vencio en card no puede hacer movimiento del dinero que esta en mi cuenta;funcionalidad;token;no funciona;neutral;40;Sí
no cobrar tanto por mantenimiento de tarjeta o cobrar de acuerdo al monto que se se cuenta en un minimo;funcionalidad;inestabilidad;mantenimiento;neutral;20;Sí
que haya oportunidades de prestamo para cualquier persona pagadora;otros;prestamos;no hay campanas;neutral;9;Sí
no me llamaron cuando lo solicite;noespecifica;Sin categoría N2;Sin categoría N3;neutral;6;Sí
hoy he nintendo pagar mis servicios varias veces no se cual es la razon;funcionalidad;operaciones;no puede realizar monetarias;neutral;14;Sí
no veo convencimiento de poder seguir estando con esta banca;seguridad;movimientos no reconocidos;Sin categoría N3;neutral;10;Sí
mala atenciaon tanto en presencial como telefonica decepcionante;otros;agencias;atencion;negativo;8;Sí
muy lento la atencion;funcionalidad;inestabilidad;lentitud;negativo;4;Sí
estan en panales;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
servicio debe adicionar en la app la visualizacion de las tarjetas adicionales no las puedo encontrar en otros bancos hasta tienes la posibilidad de bloquear desde tu app las tarjetas adicionales y aqui ni las puedo ver que hacemos;tarifas;comision;Sin categoría N3;neutral;39;Sí
si una transaccion no se realiza correctamente el extorno no deberia demorar tanto ahora prefiero pagar contra entrega lo cual limita comprar con una tarjeta de credito por la aplicacion;otros;agencias;tiempo de espera;neutral;30;Sí
qe no sean abusibos en la cobransa de prestamos antes de la fecha se agarraron mi dinero con el qe trabajo;otros;prestamos;no hay campanas;neutral;21;Sí
quitar el token digital para poder realizar la transferencia;funcionalidad;token;Sin categoría N3;neutral;9;Sí
en ser un banco mas seguro ya que yo he sido estafado por empresas extranjeras;tarifas;Sin categoría N2;Sin categoría N3;neutral;15;Sí
cobran comision en cambio bbva no hace ello;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;8;Sí
se me bloquiolas teclas estan mal canbiar a dijitalbuen dia gracias;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;11;Sí
seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;1;Sí
tuve que hacer 5 colas uno para depositar otro para que me ingresen al app mi cuenta otro en plataforma para que me activen el torneo otra cola para pagar los 25 soles y otra cola para que me entreguen el equipo de token he perdido 3 horas;otros;agencias;Sin categoría N3;neutral;48;Sí
deberia ser mas rapida;noespecifica;Sin categoría N2;Sin categoría N3;neutral;4;Sí
quitar lo del token;funcionalidad;token;Sin categoría N3;neutral;4;Sí
ser mas dinamico;diseno;Sin categoría N2;Sin categoría N3;neutral;3;Sí
ser mas eficiente;noespecifica;Sin categoría N2;Sin categoría N3;positivo;3;Sí
su atencion al cliente es pesima ni siquiera pude comunicarme con un asesor;otros;reclamos;Sin categoría N3;neutral;13;Sí
no llega amo correo los comprobantes de realizo tanto transferencia yape;funcionalidad;constancias;no llega;neutral;11;Sí
sobre todo la informacion de seguridad y operaciones transacciones importante la funcion de atencion y consultas es primordial de parte del cliente;funcionalidad;operaciones;no puede realizar consultas;neutral;22;Sí
mejorar en los servicios que dan como el warda mas acceso a su empleados que puedan solucionar este tipo de problemas por ejemplo;otros;agencias;capacidad de solucion;neutral;23;Sí
quisiera informacion de tarjeta de credito;otros;prestamos;Sin categoría N3;neutral;6;Sí
pesima atencion llame por un monto no reconocido llame mas de tres ocasiones y los tres agentes medoeron respuestas diferentes hastaedojeron que coloque una denuncia sin saber que para denunciar debe haber un delito totalmente mala informacion no recomiendo bcp para cobrar mantenimiento de todo ahi si pero para dar una simple solucion no sirven en absoluto;otros;reclamos;Sin categoría N3;negativo;57;Sí
que no retenga la plata de los clientes x que cuando asen eso yo como cliente da miedo abrir una cuenta de ahorros;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;23;Sí
no se puede hacer transferencias no entiendo par aquel es banca movil si no la puedes usar;funcionalidad;operaciones;no puede realizar no especificado;neutral;17;Sí
jj;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
la aplicacion es lenta;funcionalidad;inestabilidad;Sin categoría N3;neutral;4;Sí
no me funciona el app;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;5;Sí
en el seguro del dinero del cliente;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;7;Sí
lleguen todas las notificaciones de movimientos tanto con la tarjeta de credito como sueldo;otros;prestamos;Sin categoría N3;neutral;14;Sí
j;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
tene billetes pequenos y personal para la atencion de agente;otros;agencias;Sin categoría N3;neutral;10;Sí
que el bot entienda lo que uno le pide uno usa palabras claras y no resuelve nada tiene mucho que mejorar;otros;comentarios genericos;Sin categoría N3;neutral;21;Sí
bueno;otros;comentarios positivos;Sin categoría N3;positivo;1;Sí
por mi parte todo bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;5;Sí
la mayoria de veces que realizo un pago transferencia etc tengo que ingresar hasta 3 veces porque sale el puto mensaje de siempre ocurrio un problema nuestro equipo esta trabajando para solucionarlo;funcionalidad;operaciones;Sin categoría N3;negativo;32;Sí
trabajar mas en su aplicativo para que no tenga problemas;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;10;Sí
quiero mis retiros mas a tiempo;funcionalidad;operaciones;Sin categoría N3;neutral;6;Sí
practicidad son abismalmente complicados y con ello ineficientes;Sin categoría N1;Sin categoría N2;Sin categoría N3;negativo;8;Sí
que nos atiendan mas rapido;otros;comentarios positivos;Sin categoría N3;positivo;5;Sí
se retiraron dinero de mi cuenta sin mi consentimiento;seguridad;movimientos no reconocidos;Sin categoría N3;neutral;9;Sí
en dar mas intereses ps;tarifas;intereses;Sin categoría N3;neutral;5;Sí
no me permite yapear ya 2 dias;funcionalidad;operaciones;Sin categoría N3;neutral;7;Sí
no deben retener las cobranzas coactivas;seguridad;Sin categoría N2;Sin categoría N3;neutral;6;Sí
la atencion al adulto mayor no es la adecuada me estuvo atendiendo la srta llega un joven lo atiende primero y yo tuve que ir a sacar mi ticket para atencion;otros;reclamos;Sin categoría N3;neutral;31;Sí
ser mas humanos;otros;Sin categoría N2;Sin categoría N3;neutral;3;Sí
no avisan la fecha limite de pago ya que la cambian sin previo aviso;funcionalidad;limite transaccional;Sin categoría N3;neutral;14;Sí
que sea mas rapido estuve 1 hora parada esperando a que el agente me atendiera y al final me dijeron que no me podian ayudar porque no tenia mi documento de identidad;seguridad;Sin categoría N2;Sin categoría N3;neutral;32;Sí
no me llegan las notificaciones;funcionalidad;notificaciones;Sin categoría N3;neutral;5;Sí
seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;1;Sí
que dejen abrir una cuenta en dolares desde europa;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;9;Sí
mejoren su gestion de token digital lo unico que hace su app cuando entro es mandarme correos de que ya active mi token digital pese a que nunca se logra activar;funcionalidad;token;token fisico;neutral;31;Sí
te amo torka;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
en que se debe quedar el nombre cuando hacen transferencias en los movimientos;funcionalidad;operaciones;Sin categoría N3;neutral;13;Sí
no me dan solucion;otros;reclamos;Sin categoría N3;neutral;4;Sí
en la captura de imagen;diseno;Sin categoría N2;Sin categoría N3;neutral;5;Sí
no cobrar tanto x transferencia;funcionalidad;operaciones;Sin categoría N3;neutral;5;Sí
para abrir una cuenta digital no valida los datos por mas que se intento nunca se pudo abrir la cuenta digital;funcionalidad;login;Sin categoría N3;neutral;21;Sí
que no me deben embargar mi dinero;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;7;Sí
mi tarjeta no funciona y no me permite hacer compras;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;10;Sí
deberia de mejorar una taza de interes para los clientes;tarifas;intereses;bajos;neutral;10;Sí
present aerrores y no me permite sacar estado de cuenta;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;10;Sí
mejorar en ofertas de credito;otros;prestamos;no hay campanas;positivo;5;Sí
la atencion al cliente es pesima el unico rescatable es el seguridad la verdad me senti menospreciado;otros;reclamos;Sin categoría N3;neutral;17;Sí
malaso;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
muchas cosas;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
las transferencias internacionales demoran mucho en hacerlas efectivas el banco ya confirma que el dinero se encuentra en bcp y demoran en hacerlo efectivo 24 horas mas;tarifas;tipo de cambio;Sin categoría N3;neutral;27;Sí
mas cajeros muchisimas colas;otros;agencias;Sin categoría N3;neutral;4;Sí
hago pagos con tarjeta y me sale no ha procesado el pago pero si me lo descuentan de la banca luego con yape tengo la cuenta vinculada al bcp y lo mismo pasa yapeo y no le llega l destinatario;funcionalidad;operaciones;Sin categoría N3;neutral;40;Sí
disponibilidad de dinero en todo momento;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;6;Sí
mejor en poder un buen uso del aplicativo por ejemplo quiero transferir desde mi cuenta a otra cuenta y se demora un monton y sale cargando y al final no se puede nada es una desesperacion para una que esta apurado y no poder hacerlo es mejor el yape antes que la misma aplicacion;funcionalidad;inestabilidad;lentitud;positivo;54;Sí
me parece abusivo el cobro de comision interbancaria para persona natural interbank no lo hace;otros;agencias;Sin categoría N3;neutral;15;Sí
en todo cobran comisiones hasta por entrar a una agencia bcp;otros;agencias;Sin categoría N3;neutral;11;Sí
todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
hago transacciones todo el ano y no me dan ningun prestamo;otros;prestamos;no hay campanas;neutral;11;Sí
todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
mejor atencion;otros;reclamos;Sin categoría N3;positivo;2;Sí
la atencion al cliente;otros;reclamos;Sin categoría N3;neutral;4;Sí
cobran comicion;tarifas;comision;Sin categoría N3;neutral;2;Sí
bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;1;Sí
no recomiendo ninguna familia;noespecifica;Sin categoría N2;Sin categoría N3;neutral;4;Sí
la atencion es muy lenta se demoran muchosisimo;otros;agencias;tiempo de espera;neutral;8;Sí
al activar el token digital no se puede activar me sale error;funcionalidad;token;no funciona;negativo;12;Sí
en seguridad me robaron todo mi dinero y el banco bien gracias;seguridad;fraudes;Sin categoría N3;positivo;12;Sí
una mejor solucion o mas alternativas digitales cuando no se pueda usar el token digital en diferentes dispositivos;funcionalidad;token;token fisico;neutral;18;Sí
mejorar sus acciones de dialogo directo con un asesor especializado;otros;agencias;capacidad de solucion;neutral;10;Sí
atender mas rapidamente alos clientes;otros;Sin categoría N2;Sin categoría N3;neutral;5;Sí
me va mal ya que de la cuentas de mi empresa yapeo a mi cuenta personal del bcp y no llega el yape a mi cuenta me dicen que me responden en 15 dias y hasta ahora no tengo respuesta;otros;reclamos;Sin categoría N3;negativo;40;Sí
seguridad aumentar un seguridad mas;seguridad;prevencion de fraudes;Sin categoría N3;neutral;5;Sí
que no tenga caidas en la conexion;funcionalidad;inestabilidad;caida de sistema;neutral;7;Sí
mucha demoran en atender se la pasan conversando con sus companeros;otros;agencias;tiempo de espera;neutral;11;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
muy mala;noespecifica;Sin categoría N2;Sin categoría N3;negativo;2;Sí
mas seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;2;Sí
los transacciones realizadas desaparecen y luego despues de horas vuelven a apararecer me sucedio 1100 pm me hacen transaccion verifico que llego a mi banca movil luego de un par de horas 0200 am del siguiente dia valido y no esta mi transaccion luego a las 0600 am vuelve a aparecer;funcionalidad;operaciones;Sin categoría N3;neutral;51;Sí
tuve un problema con el municipio de san martin de porres que hicieron el banco como si fuera millonario accedio a dar informacion mia al msmp y me quitaron ni si quiera me congelaron me quitaron todo mi efectivo que tenia y fue de lo peor no se informaron bien y siguen haciendo eso quitandome mi dinero como si tuviera un negocio por un error del fiscalizador;tarifas;Sin categoría N2;Sin categoría N3;negativo;67;Sí
que las transacciones sean al instante a cualquier banco;tarifas;Sin categoría N2;Sin categoría N3;neutral;9;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
en todo no reconoce mi rostro el sistema no puedo crear la clave de 6 digitos de la empresa y la solucion que me da el banco es que vaya a reniec y cambie el dni que no esta vencido imposible en estas fechas ademas no deberia tener qye hacerlo el banco deberia dar otras alternativas;tarifas;Sin categoría N2;Sin categoría N3;neutral;56;Sí
fatal me trataron mal;noespecifica;Sin categoría N2;Sin categoría N3;negativo;4;Sí
el joven que me atendio pidio una tarjeta de credito por mi sin que yo se lo haya pedido yo le pedi anular mi tarjeta de credito solamente ni bien llegue a mi casa lo regresare por donde vino no pienso aceptar nada q no haya pedido;otros;prestamos;Sin categoría N3;negativo;47;Sí
pedi mi adelanto de sueldo por que lo nesecitaba y no me ayudaron;otros;prestamos;Sin categoría N3;neutral;13;Sí
no cuenta con el monto;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;5;Sí
deben funcionar sin internet;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;4;Sí
hubo un fallo al enviar mi problema con el banco y no se pudo enviar porque salia error asi que espero solucionen eso gracias;tarifas;Sin categoría N2;Sin categoría N3;negativo;24;Sí
q no entendi;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
esta en muy buenas condiciones;otros;prestamos;Sin categoría N3;positivo;5;Sí
yo creo que deberia ver una forma de que se pueda guardar ese codigo de 6 digitos al ingresar a la app puesto que es un poco incomodo entrar y poner a cada rato el mismo codigo;funcionalidad;login;no puede ingresar;neutral;37;Sí
tengo anos trabajando con bcp tengo una empresa le di los recibos de honorarios a una asesora que me los pidio y 8 anos esperando una campana para recibir tarjeta de credito y aun la respuesta lamentamos que usted no logra calificar tenemos sus documento pero no por ahora no 10458335163 jheyzon flores mendoza celular 981536793;otros;prestamos;no hay campanas;neutral;56;Sí
tengo en mi tarjeta de debito asociado dos cuentas de soles y una de dolares cuando compro en dolares se cobra de la cuenta en soles obviamente tengo saldo en la cuenta de dolares consulte con ustedes nunca me dieron una solucion correcta;funcionalidad;operaciones;no puede realizar consultas;neutral;43;Sí
seguridad anti hacker mas seguridad por favor;seguridad;prevencion de fraudes;Sin categoría N3;neutral;7;Sí
falta la opcion de encendido y apagado de tarjeta para que sea mas seguro;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;14;Sí
me descontaron dinero de una aplicacion en linea sin pedir mi autorizacion y sin siquiera avisarme el dia que se desconto el dinero se realizo una suscripcion a una pagina que yo no tengo conocimiento y saca mi dinero sin mi autorizacion;seguridad;movimientos no reconocidos;Sin categoría N3;neutral;42;Sí
tuve muy mala experiencia con las transacciones y casi siempre ocurren justamente conmigo y pienso que su servicio es muy malo comparado con mi banco actual;tarifas;comision;Sin categoría N3;negativo;26;Sí
esta excelente;otros;comentarios positivos;Sin categoría N3;positivo;2;Sí
todo muy inseguro;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
problemas para entregar la tarjeta hasta tres veces se intento el deliver no lee las indicaciones;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;16;Sí
es demasiado el costo por reposicion de tarjeta;tarifas;comision;Sin categoría N3;neutral;8;Sí
nose puede realizar pagos;funcionalidad;operaciones;no puede realizar no especificado;neutral;4;Sí
pesima aplicacion;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;2;Sí
pesima atencion no da informacion clara;otros;informacion;falta de informacion;neutral;6;Sí
ser mas confidencial colocando huella dactilar;funcionalidad;login;Sin categoría N3;neutral;6;Sí
muy mal bcp;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;3;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
senores me desaparecieron mi dinero y luego aparecio de parte en parte ustedes verifiquen porq lo reporte y aque hora me comunico con ustedes verifiquen lo si gustan tengo las pruebas de que no estan trabajando adecuadamente y no hay seguridad con la aplicacion;seguridad;prevencion de fraudes;Sin categoría N3;neutral;44;Sí
no ofrecen una atencion califica mejor al cliente a pesar de tener sus ahorros y sus pagos en general via bcp te tratan muy mal no te dan oportunidad de crecer y mejorar historial crediticio;funcionalidad;operaciones;Sin categoría N3;neutral;35;Sí
me embargaron mi cuenta no se cual es el convenio que tienen con la sunat o sea no dan oportunidad para ver de que se trata;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;26;Sí
no me permite entrar a mi aplicativo hace 4 dias me sale ocurrio un problema nuestro equipo esta tratando para solucionarlo danos unos minutos e intentalo de nuevo;funcionalidad;login;no puede ingresar;negativo;28;Sí
avisar que antes de usar la aplicacion tener listo el codigo de 6 digitos;funcionalidad;login;Sin categoría N3;neutral;14;Sí
efectividad sin propaganda;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
mucho en hacer transacciones con otras pequenas empresas la atencion al usuario;funcionalidad;operaciones;Sin categoría N3;neutral;12;Sí
informacion no brindan informacion completa cuando se les pide;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;9;Sí
que los procesos sean mas rapidos ya q en estos tiempos de internet queremos las cosas para ayer;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;18;Sí
los envio de estado de cuenta llegan un mes de atrasados tengo que pagar sin saber lo que pago una vez que he cancelado recien estoy verificando el monto de lo que pago;seguridad;Sin categoría N2;Sin categoría N3;neutral;33;Sí
saludos es ilogico y no funciona si estoy solicitando un prestamo a traves de la app no me es posible ver el codigo de verificacion que me envian por la misma app la operacion no pudo ser comprobada;otros;bloqueo de cuenta;Sin categoría N3;neutral;38;Sí
en que pueden agilizar la las promociones para los de mas usuarios;diseno;Sin categoría N2;Sin categoría N3;neutral;12;Sí
del poco ahorro que tengo hace mas de un ano se aduenaron de 450 soles y el resto lo tienen retenido eso se llama robo porque yo no autorice;seguridad;movimientos no reconocidos;Sin categoría N3;neutral;29;Sí
tengo una tarjeta de credito adicional y siendo yo el titular no tengo control sobre la tarjeta para restringir compras por internet y compras en el extranjero;otros;prestamos;Sin categoría N3;neutral;27;Sí
todo ok;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
no me gusta mucho se cuelga la pagina y la app;funcionalidad;inestabilidad;Sin categoría N3;neutral;11;Sí
mi tarjeta donde me hacen mis pagos caduco saco una nueva y no me dicen nadaquiero hacer transferencias dentro de mis cuentas y no puedoaparte no me ayudan voy ala agencia del jockey y nada hasta este momento no tengo plata x q ustedes banco hacen todo una burocracia y nada q me llaman como banco 0 puntos me siento perjudicado;otros;agencias;Sin categoría N3;neutral;61;Sí
se bloquea y demora activarse;funcionalidad;inestabilidad;lentitud;neutral;5;Sí
me parecio buena;tarifas;comision;Sin categoría N3;positivo;3;Sí
no puedo ingresar a la banca movil y no se porque;funcionalidad;login;no puede ingresar;neutral;11;Sí
no hay premoios ni insentivos;otros;promociones ofertas o sorteos;Sin categoría N3;neutral;5;Sí
hasta los momento me a servido de mucho;otros;comentarios genericos;Sin categoría N3;neutral;8;Sí
la atencion por la asesora bien y ya que el libro de reclamacion no esta habilitado en su pagina y en el mall de san juan de lurigancho tampoco quiero presentar un reclamo porque en la oficina mencionada me indicaron que la persona que me llamo debia llamar al call de bcp para desbloquear mi cuenta y mi yape el colmo hasta el momento no tengo el yape habilitado;otros;agencias;Sin categoría N3;neutral;69;Sí
facilidades de pago tarjetas de credito;otros;prestamos;Sin categoría N3;neutral;6;Sí
deberian investigar o pedir sustento antes de bloquear cuentas es lamentable que violen los derechos al tener una cuenta en este banco;tarifas;comision;Sin categoría N3;neutral;22;Sí
siempre con una sonrisa;noespecifica;Sin categoría N2;Sin categoría N3;neutral;4;Sí
un mejor servicio para abrir el yape es muy complicado y poco funcional;funcionalidad;inestabilidad;mantenimiento;neutral;13;Sí
no envien correos con creditos preaprobados;otros;prestamos;Sin categoría N3;neutral;6;Sí
en dar mas creditos antes me daban ahora ya no se porque;otros;prestamos;Sin categoría N3;neutral;12;Sí
muy lentos;funcionalidad;inestabilidad;lentitud;negativo;2;Sí
no solucionaron mi problema;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;4;Sí
pesimo;noespecifica;Sin categoría N2;Sin categoría N3;negativo;1;Sí
tiempo;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;1;Sí
que se fijen bien antes de hacer una comprar x internet ahora mismo me llegan notificaciones del bcp que no se afectar mi pago cosa que yo no hize ninguna compra;funcionalidad;notificaciones;Sin categoría N3;neutral;31;Sí
al hacer depositos a bancos deberia salir al menos el 1er nombre y apellido de la petsona a quien se deposita no solo las 2 primeras letras no me da confianza gracias;otros;cajero;Sin categoría N3;neutral;32;Sí
es mal servicio no creo que cambien todo para ustedes es plata;funcionalidad;inestabilidad;mantenimiento;negativo;12;Sí
en no hacer tantas encuestas;noespecifica;Sin categoría N2;Sin categoría N3;neutral;5;Sí
deben aceptar cuando uno no desea una campana porque indico que no deseo amablemente y vuelven a comunicarse obviando mi decision;otros;prestamos;no hay campanas;neutral;21;Sí
todo bien gracias;otros;Sin categoría N2;Sin categoría N3;positivo;3;Sí
no me parece justo el cobro adicional sin previo aviso en cuanto al pago de algun servicio en algun videojuego opino que se deberia exonerar es un abuso;funcionalidad;operaciones;Sin categoría N3;neutral;28;Sí
no cobrar por las transferencias a otros bancos cuando son de la misma persona;otros;agencias;Sin categoría N3;neutral;14;Sí
usen face id para entrar a la cuenta y no tener q perder tiempo poniendo la clave;funcionalidad;login;Sin categoría N3;neutral;17;Sí
mejorar el asesoramiento para clientes que operan mercados financieros trading compra de dilares entre el banco y billeteras virtuales poe ejemplo skrill es importante porque uno les habla de estos movimientos y saben muy poco o nada y esto es un negocio en auge crecimiento en estos tiempos de internet gracias lis chicos fueron amables pero con poco conocimiento del tema;otros;comentarios genericos;Sin categoría N3;positivo;61;Sí
el pase a cuotas;tarifas;Sin categoría N2;Sin categoría N3;neutral;4;Sí
prsimo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
en un prestamo;otros;prestamos;no hay campanas;neutral;3;Sí
mejor atencion por parte de asesores;otros;reclamos;Sin categoría N3;neutral;6;Sí
la banca movil no permite pagar mi prestamo mejorar eso por favor;otros;prestamos;no hay campanas;neutral;12;Sí
por 5 meses estado haciendo el adelanto de sueldo y ahora este mes me sale que no puedo hacerlo siempre que me pagan me descuenta y ahora este mes me salio que no podia adelantar buscare otro banco mejor porque nunca me atrase en pagar eso siempre puntual;tarifas;comision;Sin categoría N3;neutral;48;Sí
me cobraron 5 soles no se de que;tarifas;Sin categoría N2;Sin categoría N3;neutral;8;Sí
solucion a los problemas;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;4;Sí
no es seguro tener token digital;funcionalidad;token;Sin categoría N3;neutral;6;Sí
yo como cuidado extranjero no tengo muchas posibilidades de tener experiencia crediticia;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;12;Sí
no pude usar el app tuve que ingresar la cuenta bancaria para transferir;funcionalidad;login;no puede ingresar;neutral;13;Sí
se cayo el sistema;funcionalidad;inestabilidad;Sin categoría N3;neutral;4;Sí
en bajar la tasa de adelanto de sueldo asi pudieramos sacar mas y no tanto interes para posibilidad de ayuda;funcionalidad;no permite instalar app;Sin categoría N3;neutral;20;Sí
no funciona;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;2;Sí
la seguridad de las transacciones;seguridad;prevencion de fraudes;Sin categoría N3;neutral;5;Sí
el dia 28 nos dejaron sin ningun acceso yo estaba en un taxi y no pude yapear el servicio todo sin avisar y justo fin de mes;funcionalidad;inestabilidad;mantenimiento;neutral;27;Sí
